input_id,version,input,gradient
0,original,"[2.0, 3.0, 4.0, 10.0]","[12.0, 8.0, 6.0, 2.384185791015625e-07]"
0,manual,"[2.0, 3.0, 4.0, 10.0]","[12.0, 8.0, 6.0, 0.0]"
0,herbie,"[2.0, 3.0, 4.0, 10.0]","[12.0, 8.0, 6.0, 0.0]"
1,original,"[1.5, -2.0, 5.0, 0.25]","[-10.0, 7.5, -3.0, 0.0]"
1,manual,"[1.5, -2.0, 5.0, 0.25]","[-10.0, 7.5, -3.0, 0.0]"
1,herbie,"[1.5, -2.0, 5.0, 0.25]","[-10.0, 7.5, -3.0, 0.0]"
2,original,"[1.0, 1.0, 1.0, 9.999999682655225e-21]","[1.0, 1.0, 1.0, -inf]"
2,manual,"[1.0, 1.0, 1.0, 9.999999682655225e-21]","[1.0, 1.0, 1.0, 0.0]"
2,herbie,"[1.0, 1.0, 1.0, 9.999999682655225e-21]","[1.0, 1.0, 1.0, 0.0]"
3,original,"[1.0000000200408773e+20, 1.0000000200408773e+20, 9.999999682655225e-21, 1.0000000031710769e-30]","[inf, 1.0, inf, nan]"
3,manual,"  [1.0000000200408773e+20, 1.0000000200408773e+20, 9.999999682655225e-21, 1.0000000031710769e-30]","[1.0, 1.0, inf, 0.0]"
3,herbie,"  [1.0000000200408773e+20, 1.0000000200408773e+20, 9.999999682655225e-21, 1.0000000031710769e-30]","[1.0, 1.0, inf, 0.0]"
