batch_id,test_id,varied_index,varied_value,input_real,input_imag,original_output_real,original_output_imag,manual_output_real,manual_output_imag,herbie_output_real,herbie_output_imag,manual_vs_original,herbie_vs_original,manual_vs_herbie
2026-06-17T20:09:31,0,2,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 0.0, 1.0, 1.0]","[3.0, 3.0, 4.0, 3.0, 3.0]","[1.0, 1.0, 0.0, 1.0, 1.0]","[4.0, 4.0, 4.0, 4.0, 4.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[4.0, 4.0, 4.0, 4.0, 4.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",1.4142135623730951,1.4142135623730951,0.0
2026-06-17T20:09:31,1,2,1.023316578330245,"[1.0, 1.0, 1.023316578330245, 1.0, 1.0]","[1.0, 1.0, 0.0, 1.0, 1.0]","[3.0233165783302445, 3.0233165783302445, 4.04663315666049, 3.0233165783302445, 3.0233165783302445]","[0.9766834216697553, 0.9766834216697553, 0.0, 0.9766834216697553, 0.9766834216697553]","[4.04663315666049, 4.04663315666049, 4.04663315666049, 4.04663315666049, 4.04663315666049]","[0.0, 0.0, 0.0, 0.0, 0.0]","[4.04663315666049, 4.04663315666049, 4.04663315666049, 4.04663315666049, 4.04663315666049]","[0.0, 0.0, 0.0, 0.0, 0.0]",1.4145979378077935,1.4145979378077935,0.0
2026-06-17T20:09:31,2,2,1.0471768194855202,"[1.0, 1.0, 1.0471768194855202, 1.0, 1.0]","[1.0, 1.0, 0.0, 1.0, 1.0]","[3.04717681948552, 3.04717681948552, 4.094353638971041, 3.04717681948552, 3.04717681948552]","[0.9528231805144798, 0.9528231805144798, 0.0, 0.9528231805144798, 0.9528231805144798]","[4.09435363897104, 4.09435363897104, 4.09435363897104, 4.09435363897104, 4.09435363897104]","[0.0, 0.0, 0.0, 0.0, 0.0]","[4.09435363897104, 4.09435363897104, 4.09435363897104, 4.09435363897104, 4.09435363897104]","[0.0, 0.0, 0.0, 0.0, 0.0]",1.4157864615094815,1.4157864615094815,0.0
2026-06-17T20:09:31,3,2,1.0715933998226712,"[1.0, 1.0, 1.0715933998226712, 1.0, 1.0]","[1.0, 1.0, 0.0, 1.0, 1.0]","[3.0715933998226714, 3.0715933998226714, 4.143186799645343, 3.0715933998226714, 3.0715933998226714]","[0.9284066001773286, 0.9284066001773286, 0.0, 0.9284066001773286, 0.9284066001773286]","[4.143186799645342, 4.143186799645342, 4.143186799645342, 4.143186799645342, 4.143186799645342]","[0.0, 0.0, 0.0, 0.0, 0.0]","[4.143186799645342, 4.143186799645342, 4.143186799645342, 4.143186799645342, 4.143186799645342]","[0.0, 0.0, 0.0, 0.0, 0.0]",1.4178332870250774,1.4178332870250774,0.0
2026-06-17T20:09:31,4,2,1.0965792912678098,"[1.0, 1.0, 1.0965792912678098, 1.0, 1.0]","[1.0, 1.0, 0.0, 1.0, 1.0]","[3.09657929126781, 3.09657929126781, 4.19315858253562, 3.09657929126781, 3.09657929126781]","[0.9034207087321902, 0.9034207087321902, 0.0, 0.9034207087321902, 0.9034207087321902]","[4.19315858253562, 4.19315858253562, 4.19315858253562, 4.19315858253562, 4.19315858253562]","[0.0, 0.0, 0.0, 0.0, 0.0]","[4.19315858253562, 4.19315858253562, 4.19315858253562, 4.19315858253562, 4.19315858253562]","[0.0, 0.0, 0.0, 0.0, 0.0]",1.4207938340954276,1.4207938340954276,0.0
2026-06-17T20:09:31,5,2,1.1221477682079803,"[1.0, 1.0, 1.1221477682079803, 1.0, 1.0]","[1.0, 1.0, 0.0, 1.0, 1.0]","[3.122147768207981, 3.122147768207981, 4.244295536415962, 3.122147768207981, 3.122147768207981]","[0.8778522317920194, 0.8778522317920194, 0.0, 0.8778522317920194, 0.8778522317920194]","[4.244295536415961, 4.244295536415961, 4.244295536415961, 4.244295536415961, 4.244295536415961]","[0.0, 0.0, 0.0, 0.0, 0.0]","[4.244295536415961, 4.244295536415961, 4.244295536415961, 4.244295536415961, 4.244295536415961]","[0.0, 0.0, 0.0, 0.0, 0.0]",1.4247245890193583,1.4247245890193583,0.0
2026-06-17T20:09:31,6,2,1.148312414543511,"[1.0, 1.0, 1.148312414543511, 1.0, 1.0]","[1.0, 1.0, 0.0, 1.0, 1.0]","[3.1483124145435113, 3.1483124145435113, 4.296624829087023, 3.1483124145435113, 3.1483124145435113]","[0.8516875854564887, 0.8516875854564887, 0.0, 0.8516875854564887, 0.8516875854564887]","[4.296624829087023, 4.296624829087023, 4.296624829087023, 4.296624829087023, 4.296624829087023]","[0.0, 0.0, 0.0, 0.0, 0.0]","[4.296624829087023, 4.296624829087023, 4.296624829087023, 4.296624829087023, 4.296624829087023]","[0.0, 0.0, 0.0, 0.0, 0.0]",1.4296828825356527,1.4296828825356527,0.0
2026-06-17T20:09:31,7,2,1.1750871309048077,"[1.0, 1.0, 1.1750871309048077, 1.0, 1.0]","[1.0, 1.0, 0.0, 1.0, 1.0]","[3.175087130904808, 3.175087130904808, 4.350174261809616, 3.175087130904808, 3.175087130904808]","[0.8249128690951921, 0.8249128690951921, 0.0, 0.8249128690951921, 0.8249128690951921]","[4.350174261809615, 4.350174261809615, 4.350174261809615, 4.350174261809615, 4.350174261809615]","[0.0, 0.0, 0.0, 0.0, 0.0]","[4.350174261809615, 4.350174261809615, 4.350174261809615, 4.350174261809615, 4.350174261809615]","[0.0, 0.0, 0.0, 0.0, 0.0]",1.4357266476655481,1.4357266476655481,0.0
2026-06-17T20:09:31,8,2,1.2024861420374122,"[1.0, 1.0, 1.2024861420374122, 1.0, 1.0]","[1.0, 1.0, 0.0, 1.0, 1.0]","[3.2024861420374124, 3.2024861420374124, 4.404972284074824, 3.2024861420374124, 3.2024861420374124]","[0.7975138579625878, 0.7975138579625878, 0.0, 0.7975138579625878, 0.7975138579625878]","[4.404972284074825, 4.404972284074825, 4.404972284074825, 4.404972284074825, 4.404972284074825]","[0.0, 0.0, 0.0, 0.0, 0.0]","[4.404972284074825, 4.404972284074825, 4.404972284074825, 4.404972284074825, 4.404972284074825]","[0.0, 0.0, 0.0, 0.0, 0.0]",1.4429141607990374,1.4429141607990374,0.0
2026-06-17T20:09:31,9,2,1.2305240043592616,"[1.0, 1.0, 1.2305240043592616, 1.0, 1.0]","[1.0, 1.0, 0.0, 1.0, 1.0]","[3.2305240043592613, 3.2305240043592613, 4.461048008718523, 3.2305240043592613, 3.2305240043592613]","[0.7694759956407384, 0.7694759956407384, 0.0, 0.7694759956407384, 0.7694759956407384]","[4.461048008718523, 4.461048008718523, 4.461048008718523, 4.461048008718523, 4.461048008718523]","[0.0, 0.0, 0.0, 0.0, 0.0]","[4.461048008718523, 4.461048008718523, 4.461048008718523, 4.461048008718523, 4.461048008718523]","[0.0, 0.0, 0.0, 0.0, 0.0]",1.451303770122457,1.451303770122457,0.0
2026-06-17T20:09:31,10,2,1.259215613694151,"[1.0, 1.0, 1.259215613694151, 1.0, 1.0]","[1.0, 1.0, 0.0, 1.0, 1.0]","[3.2592156136941512, 3.2592156136941512, 4.518431227388302, 3.2592156136941512, 3.2592156136941512]","[0.7407843863058488, 0.7407843863058488, 0.0, 0.7407843863058488, 0.7407843863058488]","[4.518431227388302, 4.518431227388302, 4.518431227388302, 4.518431227388302, 4.518431227388302]","[0.0, 0.0, 0.0, 0.0, 0.0]","[4.518431227388302, 4.518431227388302, 4.518431227388302, 4.518431227388302, 4.518431227388302]","[0.0, 0.0, 0.0, 0.0, 0.0]",1.4609536162266306,1.4609536162266306,0.0
2026-06-17T20:09:31,11,2,1.288576213185518,"[1.0, 1.0, 1.288576213185518, 1.0, 1.0]","[1.0, 1.0, 0.0, 1.0, 1.0]","[3.288576213185518, 3.288576213185518, 4.577152426371036, 3.288576213185518, 3.288576213185518]","[0.7114237868144819, 0.7114237868144819, 0.0, 0.7114237868144819, 0.7114237868144819]","[4.577152426371036, 4.577152426371036, 4.577152426371036, 4.577152426371036, 4.577152426371036]","[0.0, 0.0, 0.0, 0.0, 0.0]","[4.577152426371036, 4.577152426371036, 4.577152426371036, 4.577152426371036, 4.577152426371036]","[0.0, 0.0, 0.0, 0.0, 0.0]",1.4719213503557136,1.4719213503557136,0.0
2026-06-17T20:09:31,12,2,1.3186214013947486,"[1.0, 1.0, 1.3186214013947486, 1.0, 1.0]","[1.0, 1.0, 0.0, 1.0, 1.0]","[3.3186214013947484, 3.3186214013947484, 4.637242802789497, 3.3186214013947484, 3.3186214013947484]","[0.6813785986052516, 0.6813785986052516, 0.0, 0.6813785986052516, 0.6813785986052516]","[4.637242802789498, 4.637242802789498, 4.637242802789498, 4.637242802789498, 4.637242802789498]","[0.0, 0.0, 0.0, 0.0, 0.0]","[4.637242802789498, 4.637242802789498, 4.637242802789498, 4.637242802789498, 4.637242802789498]","[0.0, 0.0, 0.0, 0.0, 0.0]",1.4842638562107173,1.4842638562107173,0.0
2026-06-17T20:09:31,13,2,1.3493671405883068,"[1.0, 1.0, 1.3493671405883068, 1.0, 1.0]","[1.0, 1.0, 0.0, 1.0, 1.0]","[3.3493671405883068, 3.3493671405883068, 4.6987342811766135, 3.3493671405883068, 3.3493671405883068]","[0.6506328594116932, 0.6506328594116932, 0.0, 0.6506328594116932, 0.6506328594116932]","[4.6987342811766135, 4.6987342811766135, 4.6987342811766135, 4.6987342811766135, 4.6987342811766135]","[0.0, 0.0, 0.0, 0.0, 0.0]","[4.6987342811766135, 4.6987342811766135, 4.6987342811766135, 4.6987342811766135, 4.6987342811766135]","[0.0, 0.0, 0.0, 0.0, 0.0]",1.4980369814679808,1.4980369814679808,0.0
2026-06-17T20:09:31,14,2,1.3808297652180925,"[1.0, 1.0, 1.3808297652180925, 1.0, 1.0]","[1.0, 1.0, 0.0, 1.0, 1.0]","[3.3808297652180928, 3.3808297652180928, 4.7616595304361855, 3.3808297652180928, 3.3808297652180928]","[0.6191702347819075, 0.6191702347819075, 0.0, 0.6191702347819075, 0.6191702347819075]","[4.7616595304361855, 4.7616595304361855, 4.7616595304361855, 4.7616595304361855, 4.7616595304361855]","[0.0, 0.0, 0.0, 0.0, 0.0]","[4.7616595304361855, 4.7616595304361855, 4.7616595304361855, 4.7616595304361855, 4.7616595304361855]","[0.0, 0.0, 0.0, 0.0, 0.0]",1.5132952851813606,1.5132952851813606,0.0
2026-06-17T20:09:31,15,2,1.413025990599534,"[1.0, 1.0, 1.413025990599534, 1.0, 1.0]","[1.0, 1.0, 0.0, 1.0, 1.0]","[3.4130259905995337, 3.4130259905995337, 4.826051981199067, 3.4130259905995337, 3.4130259905995337]","[0.5869740094004663, 0.5869740094004663, 0.0, 0.5869740094004663, 0.5869740094004663]","[4.826051981199068, 4.826051981199068, 4.826051981199068, 4.826051981199068, 4.826051981199068]","[0.0, 0.0, 0.0, 0.0, 0.0]","[4.826051981199068, 4.826051981199068, 4.826051981199068, 4.826051981199068, 4.826051981199068]","[0.0, 0.0, 0.0, 0.0, 0.0]",1.530091806991154,1.530091806991154,0.0
2026-06-17T20:09:31,16,2,1.4459729217920199,"[1.0, 1.0, 1.4459729217920199, 1.0, 1.0]","[1.0, 1.0, 0.0, 1.0, 1.0]","[3.44597292179202, 3.44597292179202, 4.89194584358404, 3.44597292179202, 3.44597292179202]","[0.5540270782079799, 0.5540270782079799, 0.0, 0.5540270782079799, 0.5540270782079799]","[4.89194584358404, 4.89194584358404, 4.89194584358404, 4.89194584358404, 4.89194584358404]","[0.0, 0.0, 0.0, 0.0, 0.0]","[4.89194584358404, 4.89194584358404, 4.89194584358404, 4.89194584358404, 4.89194584358404]","[0.0, 0.0, 0.0, 0.0, 0.0]",1.548477863562609,1.548477863562609,0.0
2026-06-17T20:09:31,17,2,1.4796880626863964,"[1.0, 1.0, 1.4796880626863964, 1.0, 1.0]","[1.0, 1.0, 0.0, 1.0, 1.0]","[3.479688062686396, 3.479688062686396, 4.959376125372793, 3.479688062686396, 3.479688062686396]","[0.5203119373136038, 0.5203119373136038, 0.0, 0.5203119373136038, 0.5203119373136038]","[4.959376125372793, 4.959376125372793, 4.959376125372793, 4.959376125372793, 4.959376125372793]","[0.0, 0.0, 0.0, 0.0, 0.0]","[4.959376125372793, 4.959376125372793, 4.959376125372793, 4.959376125372793, 4.959376125372793]","[0.0, 0.0, 0.0, 0.0, 0.0]",1.568502876939554,1.568502876939554,0.0
2026-06-17T20:09:31,18,2,1.5141893253043521,"[1.0, 1.0, 1.5141893253043521, 1.0, 1.0]","[1.0, 1.0, 0.0, 1.0, 1.0]","[3.514189325304352, 3.514189325304352, 5.028378650608704, 3.514189325304352, 3.514189325304352]","[0.4858106746956481, 0.4858106746956481, 0.0, 0.4858106746956481, 0.4858106746956481]","[5.028378650608705, 5.028378650608705, 5.028378650608705, 5.028378650608705, 5.028378650608705]","[0.0, 0.0, 0.0, 0.0, 0.0]","[5.028378650608705, 5.028378650608705, 5.028378650608705, 5.028378650608705, 5.028378650608705]","[0.0, 0.0, 0.0, 0.0, 0.0]",1.5902142385584064,1.5902142385584064,0.0
