run_id,input,shape,original_derivative,manual_derivative,herbie_derivative
2026-06-15T18:13:47,"[10.0, 0.001, 0.2, 0.3, 0.4]","(5, 5)","[[NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN]]","[[NaN, NaN, NaN, NaN, NaN], [601739.4387864554, 3913138315.573118, 0.0, 0.0, 0.0], [601793.0551089582, 3914746248.3733926, 1003.0206207261597, 0.0, 0.0], [601824.1263691883, 3914468268.2019, 0.0, 1003.0482848367219, 0.0], [601902.9196155327, 3899542511.452096, 0.0, 0.0, 1003.09108945118]]","[[NaN, NaN, NaN, NaN, NaN], [601739.4387864554, 3913138315.573118, 0.0, 0.0, 0.0], [601793.0551089582, 3914746248.3733926, 1003.0206207261597, 0.0, 0.0], [601824.1263691883, 3914468268.2019, 0.0, 1003.0482848367219, 0.0], [601902.9196155327, 3899542511.452096, 0.0, 0.0, 1003.09108945118]]"
2026-06-15T18:16:01,"[0.8, 0.1, 0.2, 0.3, 0.4]","(5, 5)","[[-5.5825634278718805, 1.1159332696690072, 0.0, 0.0, 0.0], [-11.22626768043369, 4.416556533589381, 0.0, 0.0, 0.0], [-11.102629461012016, 1.1226859666678652, 3.3098492972169247, 0.0, 0.0], [-10.931264694458083, 1.122617551160796, 0.0, 3.3375134077791855, 0.0], [-10.432443132858625, 1.1189572024772791, 0.0, 0.0, 3.380318022237229]]","[[-5.5825634278718805, 1.1159332696690072, 0.0, 0.0, 0.0], [-11.22626768043369, 4.416556533589381, 0.0, 0.0, 0.0], [-11.102629461012016, 1.1226859666678652, 3.3098492972169247, 0.0, 0.0], [-10.931264694458083, 1.122617551160796, 0.0, 3.3375134077791855, 0.0], [-10.432443132858625, 1.1189572024772791, 0.0, 0.0, 3.380318022237229]]","[[-5.5825634278718805, 1.1159332696690072, 0.0, 0.0, 0.0], [-11.22626768043369, 4.416556533589381, 0.0, 0.0, 0.0], [-11.102629461012016, 1.1226859666678652, 3.3098492972169247, 0.0, 0.0], [-10.931264694458083, 1.122617551160796, 0.0, 3.3375134077791855, 0.0], [-10.432443132858625, 1.1189572024772791, 0.0, 0.0, 3.380318022237229]]"
2026-06-15T18:17:33,"[-10.0, 0.001, 0.2, 0.3, 0.4]","(5, 5)","[[NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN]]","[[NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN]]","[[NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN]]"
2026-06-15T18:18:47,"[-1.0, 0.001, 0.2, 0.3, 0.4]","(5, 5)","[[NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN]]","[[NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN]]","[[NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN]]"
2026-06-15T18:19:47,"[-1.0, 0.01, 0.2, 0.3, 0.4]","(5, 5)","[[NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN]]","[[NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN]]","[[NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN]]"
2026-06-15T18:21:51,"[-1.0, 0.1, 1.0, 1.0, 0.4]","(5, 5)","[[NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN]]","[[NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN]]","[[NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN]]"
2026-06-15T18:22:06,"[1.0, 0.1, 1.0, 1.0, 1.0]","(5, 5)","[[Infinity, NaN, NaN, NaN, NaN], [7.32783135006716, 5.4407916711374735, 0.0, 0.0, 0.0], [NaN, NaN, Infinity, NaN, NaN], [NaN, NaN, NaN, Infinity, NaN], [NaN, NaN, NaN, NaN, Infinity]]","[[Infinity, NaN, NaN, NaN, NaN], [7.32783135006716, 5.4407916711374735, 0.0, 0.0, 0.0], [NaN, NaN, Infinity, NaN, NaN], [NaN, NaN, NaN, Infinity, NaN], [NaN, NaN, NaN, NaN, Infinity]]","[[Infinity, NaN, NaN, NaN, NaN], [7.32783135006716, 5.4407916711374735, 0.0, 0.0, 0.0], [NaN, NaN, Infinity, NaN, NaN], [NaN, NaN, NaN, Infinity, NaN], [NaN, NaN, NaN, NaN, Infinity]]"
2026-06-15T18:22:34,"[1.0, 1.0, 1.0, 1.0, 1.0]","(5, 5)","[[NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN]]","[[NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN]]","[[NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN]]"
2026-06-15T18:25:08,"[0.8, 0.1, 0.2, 0.3, 0.4]","(5, 5)","[[-5.5825634278718805, 1.1159332696690072, 0.0, 0.0, 0.0], [-11.22626768043369, 4.416556533589381, 0.0, 0.0, 0.0], [-11.102629461012016, 1.1226859666678652, 3.3098492972169247, 0.0, 0.0], [-10.931264694458083, 1.122617551160796, 0.0, 3.3375134077791855, 0.0], [-10.432443132858625, 1.1189572024772791, 0.0, 0.0, 3.380318022237229]]","[[-5.5825634278718805, 1.1159332696690072, 0.0, 0.0, 0.0], [-11.22626768043369, 4.416556533589381, 0.0, 0.0, 0.0], [-11.102629461012016, 1.1226859666678652, 3.3098492972169247, 0.0, 0.0], [-10.931264694458083, 1.122617551160796, 0.0, 3.3375134077791855, 0.0], [-10.432443132858625, 1.1189572024772791, 0.0, 0.0, 3.380318022237229]]","[[-5.5825634278718805, 1.1159332696690072, 0.0, 0.0, 0.0], [-11.22626768043369, 4.416556533589381, 0.0, 0.0, 0.0], [-11.102629461012016, 1.1226859666678652, 3.3098492972169247, 0.0, 0.0], [-10.931264694458083, 1.122617551160796, 0.0, 3.3375134077791855, 0.0], [-10.432443132858625, 1.1189572024772791, 0.0, 0.0, 3.380318022237229]]"
2026-06-15T20:50:54,"[-0.999, 0.1, 0.2, 0.3, 0.4]","(5, 5)","[[NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN]]","[[NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN]]","[[NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN], [NaN, NaN, NaN, NaN, NaN]]"
