run_id,input,original_output,manual_output,herbie_output
2026-06-15T18:13:47,"[10.0, 0.001, 0.2, 0.3, 0.4]","[NaN, NaN, NaN, NaN, NaN]","[NaN, 1006169.5851592955, 1006348.884044876, 1006452.7618642866, 1006715.877977229]","[NaN, 1006169.5851592955, 1006348.884044876, 1006452.7618642866, 1006715.877977229]"
2026-06-15T18:16:01,"[0.8, 0.1, 0.2, 0.3, 0.4]","[8.178093474491416, 5.420739754820072, 5.724876400964549, 6.061708717183423, 6.605590239750027]","[8.178093474491416, 5.420739754820072, 5.724876400964549, 6.061708717183423, 6.605590239750027]","[8.178093474491416, 5.420739754820072, 5.724876400964549, 6.061708717183423, 6.605590239750027]"
2026-06-15T18:17:33,"[-10.0, 0.001, 0.2, 0.3, 0.4]","[NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN]"
2026-06-15T18:18:47,"[-1.0, 0.001, 0.2, 0.3, 0.4]","[NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN]"
2026-06-15T18:19:47,"[-1.0, 0.01, 0.2, 0.3, 0.4]","[NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN]"
2026-06-15T18:21:51,"[-1.0, 0.1, 1.0, 1.0, 0.4]","[NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN]"
2026-06-15T18:22:06,"[1.0, 0.1, 1.0, 1.0, 1.0]","[10.220585071142574, 5.644041216265804, 9.55527740626506, 9.563122916097521, 9.941544382225137]","[10.220585071142574, 5.644041216265804, 9.55527740626506, 9.563122916097521, 9.941544382225137]","[10.220585071142574, 5.644041216265804, 9.55527740626506, 9.563122916097521, 9.941544382225137]"
2026-06-15T18:22:34,"[1.0, 1.0, 1.0, 1.0, 1.0]","[14.172337440538257, 13.729236401044862, 13.694039135129914, 13.70023863744645, 13.981889917756988]","[14.172337440538254, 13.72923640104486, 13.694039135129913, 13.700238637446446, 13.981889917756988]","[14.172337440538254, 13.72923640104486, 13.694039135129913, 13.700238637446446, 13.981889917756988]"
2026-06-15T18:25:08,"[0.8, 0.1, 0.2, 0.3, 0.4]","[8.178093474491416, 5.420739754820072, 5.724876400964549, 6.061708717183423, 6.605590239750027]","[8.178093474491416, 5.420739754820072, 5.724876400964549, 6.061708717183423, 6.605590239750027]","[8.178093474491416, 5.420739754820072, 5.724876400964549, 6.061708717183423, 6.605590239750027]"
2026-06-15T20:50:54,"[-0.999, 0.1, 0.2, 0.3, 0.4]","[NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN]"
2026-06-15T20:51:07,"[-0.9, 0.1, 0.2, 0.3, 0.4]","[NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN]"
2026-06-15T20:51:18,"[-0.8, 0.1, 0.2, 0.3, 0.4]","[NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN]"
2026-06-15T20:51:29,"[-0.6, 0.1, 0.2, 0.3, 0.4]","[NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN]"
2026-06-15T20:51:37,"[-0.1, 0.1, 0.2, 0.3, 0.4]","[NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN]"
2026-06-15T20:53:39,"[0.1, 0.1, 0.2, 0.3, 0.4]","[100004.12792877216, 100003.88142164164, 100004.16294980918, 100004.46974994891, 100004.93355013737]","[100004.12792877216, 100003.88142164164, 100004.16294980918, 100004.46974994891, 100004.93355013737]","[100004.12792877216, 100003.88142164164, 100004.16294980918, 100004.46974994891, 100004.93355013737]"
2026-06-15T20:55:55,"[0.0001, 0.1, 0.2, 0.3, 0.4]","[1e+20, 1e+20, 1e+20, 1e+20, 1e+20]","[1e+20, 1e+20, 1e+20, 1e+20, 1e+20]","[1e+20, 1e+20, 1e+20, 1e+20, 1e+20]"
2026-06-15T20:57:22,"[1e-05, 0.1, 0.2, 0.3, 0.4]","[9.999999999999994e+24, 9.999999999999994e+24, 9.999999999999994e+24, 9.999999999999994e+24, 9.999999999999994e+24]","[9.999999999999994e+24, 9.999999999999994e+24, 9.999999999999994e+24, 9.999999999999994e+24, 9.999999999999994e+24]","[9.999999999999994e+24, 9.999999999999994e+24, 9.999999999999994e+24, 9.999999999999994e+24, 9.999999999999994e+24]"
2026-06-15T20:58:18,"[9.0, 0.001, 0.2, 0.3, 0.4]","[NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN]"
2026-06-15T21:03:03,"[9.0, 5e-06, 0.2, 0.3, 0.4]","[NaN, NaN, NaN, NaN, NaN]","[NaN, 535072.2605199771, 535201.4031346696, 535277.6339943344, 535493.4462225343]","[NaN, 535072.2605199771, 535201.4031346696, 535277.6339943344, 535493.4462225343]"
