batch_id,test_id,varied_index,varied_value,input_real,input_imag,original_output_real,original_output_imag,manual_output_real,manual_output_imag,herbie_output_real,herbie_output_imag,manual_vs_original,herbie_vs_original,manual_vs_herbie
2026-06-17T22:16:48,0,0,1e-06,"[1e-06, 0.5, 0.5, 0.5, 0.5]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1e+30, 1e+30, 1e+30, 1e+30, 1e+30]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1e+30, 1e+30, 1e+30, 1e+30, 1e+30]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1e+30, 1e+30, 1e+30, 1e+30, 1e+30]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0
2026-06-17T22:16:48,1,0,1.1496402796661447e-06,"[1.1496402796661447e-06, 0.5, 0.5, 0.5, 0.5]","[0.0, 0.0, 0.0, 0.0, 0.0]","[4.9795505065344694e+29, 4.9795505065344694e+29, 4.9795505065344694e+29, 4.9795505065344694e+29, 4.9795505065344694e+29]","[0.0, 0.0, 0.0, 0.0, 0.0]","[4.9795505065344694e+29, 4.9795505065344694e+29, 4.9795505065344694e+29, 4.9795505065344694e+29, 4.9795505065344694e+29]","[0.0, 0.0, 0.0, 0.0, 0.0]","[4.9795505065344694e+29, 4.9795505065344694e+29, 4.9795505065344694e+29, 4.9795505065344694e+29, 4.9795505065344694e+29]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0
2026-06-17T22:16:48,2,0,1.3216727726308489e-06,"[1.3216727726308489e-06, 0.5, 0.5, 0.5, 0.5]","[0.0, 0.0, 0.0, 0.0, 0.0]","[2.4795923247127918e+29, 2.4795923247127918e+29, 2.4795923247127918e+29, 2.4795923247127918e+29, 2.4795923247127918e+29]","[0.0, 0.0, 0.0, 0.0, 0.0]","[2.4795923247127918e+29, 2.4795923247127918e+29, 2.4795923247127918e+29, 2.4795923247127918e+29, 2.4795923247127918e+29]","[0.0, 0.0, 0.0, 0.0, 0.0]","[2.4795923247127918e+29, 2.4795923247127918e+29, 2.4795923247127918e+29, 2.4795923247127918e+29, 2.4795923247127918e+29]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0
2026-06-17T22:16:48,3,0,1.5194482559544582e-06,"[1.5194482559544582e-06, 0.5, 0.5, 0.5, 0.5]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.2347255216522554e+29, 1.2347255216522554e+29, 1.2347255216522554e+29, 1.2347255216522554e+29, 1.2347255216522554e+29]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.2347255216522554e+29, 1.2347255216522554e+29, 1.2347255216522554e+29, 1.2347255216522554e+29, 1.2347255216522554e+29]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.2347255216522554e+29, 1.2347255216522554e+29, 1.2347255216522554e+29, 1.2347255216522554e+29, 1.2347255216522554e+29]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0
2026-06-17T22:16:48,4,0,1.7468189179137155e-06,"[1.7468189179137155e-06, 0.5, 0.5, 0.5, 0.5]","[0.0, 0.0, 0.0, 0.0, 0.0]","[6.148378096774589e+28, 6.148378096774589e+28, 6.148378096774589e+28, 6.148378096774589e+28, 6.148378096774589e+28]","[0.0, 0.0, 0.0, 0.0, 0.0]","[6.148378096774589e+28, 6.148378096774589e+28, 6.148378096774589e+28, 6.148378096774589e+28, 6.148378096774589e+28]","[0.0, 0.0, 0.0, 0.0, 0.0]","[6.148378096774589e+28, 6.148378096774589e+28, 6.148378096774589e+28, 6.148378096774589e+28, 6.148378096774589e+28]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0
2026-06-17T22:16:48,5,0,2.008213389316436e-06,"[2.008213389316436e-06, 0.5, 0.5, 0.5, 0.5]","[0.0, 0.0, 0.0, 0.0, 0.0]","[3.0616159266159337e+28, 3.0616159266159337e+28, 3.0616159266159337e+28, 3.0616159266159337e+28, 3.0616159266159337e+28]","[0.0, 0.0, 0.0, 0.0, 0.0]","[3.0616159266159337e+28, 3.0616159266159337e+28, 3.0616159266159337e+28, 3.0616159266159337e+28, 3.0616159266159337e+28]","[0.0, 0.0, 0.0, 0.0, 0.0]","[3.0616159266159337e+28, 3.0616159266159337e+28, 3.0616159266159337e+28, 3.0616159266159337e+28, 3.0616159266159337e+28]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0
2026-06-17T22:16:48,6,0,2.308723002523049e-06,"[2.308723002523049e-06, 0.5, 0.5, 0.5, 0.5]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.5245471138194201e+28, 1.5245471138194201e+28, 1.5245471138194201e+28, 1.5245471138194201e+28, 1.5245471138194201e+28]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.5245471138194201e+28, 1.5245471138194201e+28, 1.5245471138194201e+28, 1.5245471138194201e+28, 1.5245471138194201e+28]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.5245471138194201e+28, 1.5245471138194201e+28, 1.5245471138194201e+28, 1.5245471138194201e+28, 1.5245471138194201e+28]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0
2026-06-17T22:16:48,7,0,2.6542009582922486e-06,"[2.6542009582922486e-06, 0.5, 0.5, 0.5, 0.5]","[0.0, 0.0, 0.0, 0.0, 0.0]","[7.591559352855309e+27, 7.591559352855309e+27, 7.591559352855309e+27, 7.591559352855309e+27, 7.591559352855309e+27]","[0.0, 0.0, 0.0, 0.0, 0.0]","[7.591559352855309e+27, 7.591559352855309e+27, 7.591559352855309e+27, 7.591559352855309e+27, 7.591559352855309e+27]","[0.0, 0.0, 0.0, 0.0, 0.0]","[7.591559352855309e+27, 7.591559352855309e+27, 7.591559352855309e+27, 7.591559352855309e+27, 7.591559352855309e+27]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0
2026-06-17T22:16:48,8,0,3.0513763319812503e-06,"[3.0513763319812503e-06, 0.5, 0.5, 0.5, 0.5]","[0.0, 0.0, 0.0, 0.0, 0.0]","[3.7802553220897116e+27, 3.7802553220897116e+27, 3.7802553220897116e+27, 3.7802553220897116e+27, 3.7802553220897116e+27]","[0.0, 0.0, 0.0, 0.0, 0.0]","[3.7802553220897116e+27, 3.7802553220897116e+27, 3.7802553220897116e+27, 3.7802553220897116e+27, 3.7802553220897116e+27]","[0.0, 0.0, 0.0, 0.0, 0.0]","[3.7802553220897116e+27, 3.7802553220897116e+27, 3.7802553220897116e+27, 3.7802553220897116e+27, 3.7802553220897116e+27]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0
2026-06-17T22:16:48,9,0,3.5079851396655867e-06,"[3.5079851396655867e-06, 0.5, 0.5, 0.5, 0.5]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.8823972303941247e+27, 1.8823972303941247e+27, 1.8823972303941247e+27, 1.8823972303941247e+27, 1.8823972303941247e+27]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.8823972303941247e+27, 1.8823972303941247e+27, 1.8823972303941247e+27, 1.8823972303941247e+27, 1.8823972303941247e+27]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.8823972303941247e+27, 1.8823972303941247e+27, 1.8823972303941247e+27, 1.8823972303941247e+27, 1.8823972303941247e+27]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0
