test_id,varied_index,varied_value,primal_manual_vs_original,primal_herbie_vs_original,primal_manual_vs_herbie,first_manual_vs_original,first_herbie_vs_original,first_manual_vs_herbie,second_manual_vs_original,second_herbie_vs_original,second_manual_vs_herbie
0,3,-1e+18,324.4988973314218,324.4988973314218,0,2.1778071482940062e+40,2.1778071482940062e+40,0,8.7112285931760247e+40,8.7112285931760247e+40,0
1,3,-9.202966808760416e+17,324.4988973314218,324.4988973314218,0,2.1778071482940062e+40,2.1778071482940062e+40,0,8.7112285931760247e+40,8.7112285931760247e+40,0
2,3,-8.469459808314601e+17,324.4988973314218,324.4988973314218,0,2.1778071482940062e+40,2.1778071482940062e+40,0,4.3556142965880123e+40,4.3556142965880123e+40,0
3,3,-7.7944157504049741e+17,324.4988973314218,324.4988973314218,0,5.4445178707350154e+39,5.4445178707350154e+39,0,1.0889035741470031e+40,1.0889035741470031e+40,0
4,3,-7.1731749444655974e+17,324.4988973314218,324.4988973314218,0,1.0889035741470031e+40,1.0889035741470031e+40,0,1.3611294676837539e+39,1.3611294676837539e+39,0
5,3,-6.6014490927348838e+17,6.8056473384187693e+38,6.8056473384187693e+38,0,1472.4448609461228,1472.4448609461228,0,2.1778071482940062e+40,2.1778071482940062e+40,0
6,3,-6.0752916890160781e+17,6.8056473384187693e+38,6.8056473384187693e+38,0,5.4445178707350154e+39,5.4445178707350154e+39,0,2.1778071482940062e+40,2.1778071482940062e+40,0
7,3,-5.5910707767553062e+17,6.8056473384187693e+38,6.8056473384187693e+38,0,8.1667768061025231e+39,8.1667768061025231e+39,0,1.0889035741470031e+40,1.0889035741470031e+40,0
8,3,-5.1454438783909107e+17,324.4988973314218,324.4988973314218,0,1.3611294676837539e+39,1.3611294676837539e+39,0,2.1778071482940062e+40,2.1778071482940062e+40,0
9,3,-4.7353349229171091e+17,3.4028236692093846e+38,3.4028236692093846e+38,0,4.0833884030512616e+39,4.0833884030512616e+39,0,1.0889035741470031e+40,1.0889035741470031e+40,0
10,3,-4.3579130123970278e+17,324.4988973314218,324.4988973314218,0,1.3611294676837539e+39,1.3611294676837539e+39,0,3.4028236692093846e+38,3.4028236692093846e+38,0
11,3,-4.0105728808555027e+17,1.7014118346046923e+38,1.7014118346046923e+38,0,2.0416942015256308e+39,2.0416942015256308e+39,0,1.0889035741470031e+40,1.0889035741470031e+40,0
