test_id,varied_index,varied_value,primal_manual_vs_original,primal_herbie_vs_original,primal_manual_vs_herbie,first_manual_vs_original,first_herbie_vs_original,first_manual_vs_herbie,second_manual_vs_original,second_herbie_vs_original,second_manual_vs_herbie
0,3,-0.01,0,0,0,0,0,0,0,0,0
1,3,-0.0093744087876629651,0,0,0,0,0,0,0,0,0
2,3,-0.0087879540118212807,0,0,0,0,0,0,0,0,0
3,3,-0.0082381873313996188,0,0,0,0,0,0,0,0,0
4,3,-0.0077228135713886458,0,0,0,0,0,0,0,0,0
5,3,-0.0072396811409108685,0,0,0,0,0,0,0,0,0
6,3,-0.0067867730507232835,0,0,0,0,0,0,0,0,0
7,3,-0.0063621984926574898,0,0,0,0,0,0,0,0,0
8,3,-0.0059641849458424573,0,0,0,0,0,0,0,0,0
9,3,-0.0055910707767552817,0,0,0,0,0,0,0,0,0
10,3,-0.0052412983022060615,0,0,0,0,0,0,0,0,0
11,3,-0.0049134072862963589,0,0,0,0,0,0,0,0,0
12,3,-0.0046060288442023927,0,0,0,0,0,0,0,0,0
13,3,-0.0043178797273320246,0,0,0,0,0,0,0,0,0
14,3,-0.0040477569659973182,0,0,0,0,0,0,0,0,0
15,3,-0.0037945328472369323,0,0,0,0,0,0,0,0,0
16,3,-0.0035571502068213875,0,0,0,0,0,0,0,0,0
17,3,-0.0033346180157863619,0,0,0,0,0,0,0,0,0
18,3,-0.0031260072430686976,0,0,0,0,0,0,0,0,0
19,3,-0.0029304469769721344,0,0,0,0,0,0,0,0,0
20,3,-0.0027471207892708102,0,0,0,0,0,0,0,0,0
21,3,-0.002575263326771196,0,0,0,0,0,0,0,0,0
22,3,-0.0024141571161030114,0,0,0,0,0,0,0,0,0
23,3,-0.002263129568399528,0,0,0,0,0,0,0,0,0
24,3,-0.0021215501713624475,0,0,0,0,0,0,0,0,0
25,3,-0.001988827856988804,0,0,0,0,0,0,0,0,0
26,3,-0.0018644085339704851,0,0,0,0,0,0,0,0,0
27,3,-0.001747772774464678,0,0,0,0,0,0,0,0,0
28,3,-0.0016384336455779794,0,0,0,0,0,0,0,0,0
29,3,-0.0015359346765108966,0,0,0,0,0,0,0,0,0
30,3,-0.0014398479528760053,0,0,0,0,0,0,0,0,0
31,3,-0.0013497723302339385,0,0,0,0,0,0,0,0,0
32,3,-0.0012653317593889423,0,0,0,0,0,0,0,0,0
33,3,-0.0011861737164524766,0,0,0,0,0,0,0,0,0
34,3,-0.0011119677311206958,0,0,0,0,0,0,0,0,0
35,3,-0.0010424040070215559,0,0,0,0,0,0,0,0,0
36,3,-0.00097719212837179821,0,0,0,0,0,0,0,0,0
37,3,-0.00091605984754436812,0,0,0,0,0,0,0,0,0
38,3,-0.00085875194848451699,0,0,0,0,0,0,0,0,0
39,3,-0.00080502918122959673,0,0,0,0,0,0,0,0,0
40,3,-0.00075466726308438695,0,0,0,0,0,0,0,0,0
41,3,-0.00070745594228198763,0,0,0,0,0,0,0,0,0
42,3,-0.00066319812022126625,0,0,0,0,0,0,0,0,0
